elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z;head_quat_xyzw;Eye_Right_Blink;Eye_Left_Blink
16.9990;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9470;-0.7474;0.8369917;0.819394;-0.4233;1.6248;-1.2878;7.9178;270.1885;359.7156;(.0506, -.7041, .0470, .7067);0.0000;0.0000
17.0200;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9494;-0.7493;0.8358578;0.8208435;-0.4233;1.6247;-1.2878;7.9293;270.1809;359.7065;(.0508, -.7042, .0470, .7067);0.0000;0.0000
17.0430;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9490;-0.7473;0.837029;0.8206153;-0.4232;1.6247;-1.2878;7.9424;270.2059;359.7121;(.0508, -.7040, .0471, .7068);0.0000;0.0000
17.0660;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9450;-0.7486;0.8362356;0.8181952;-0.4231;1.6247;-1.2879;7.9654;270.2173;359.7424;(.0508, -.7039, .0474, .7068);0.0000;0.0000
17.0880;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9472;-0.7465;0.8375504;0.8195451;-0.4230;1.6247;-1.2879;7.9586;270.2292;359.7899;(.0505, -.7039, .0477, .7069);0.0000;0.0000
17.1090;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9430;-0.7515;0.8345245;0.8169973;-0.4230;1.6247;-1.2878;7.9664;270.2473;359.8033;(.0504, -.7038, .0478, .7070);0.0000;0.0000
17.1320;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9485;-0.7479;0.8366695;0.8203077;-0.4230;1.6247;-1.2877;7.9682;270.2569;359.8075;(.0504, -.7037, .0478, .7071);0.0000;0.0000
17.1550;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9535;-0.7435;0.839334;0.8233313;-0.4229;1.6246;-1.2877;7.9766;270.2537;359.7925;(.0506, -.7037, .0478, .7070);0.0000;0.0000
17.1770;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9568;-0.7368;0.84335;0.8252788;-0.4229;1.6246;-1.2877;7.9886;270.2631;359.7718;(.0508, -.7037, .0477, .7071);0.0000;0.0000
17.1990;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9570;-0.7352;0.8442974;0.8254169;-0.4229;1.6246;-1.2877;7.9679;270.2419;359.7490;(.0508, -.7038, .0475, .7070);0.0000;0.0000
17.2210;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9550;-0.7403;0.8412372;0.8242227;-0.4228;1.6246;-1.2877;7.9806;270.2310;359.7321;(.0510, -.7039, .0475, .7069);0.0000;0.0000
17.2430;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9511;-0.7422;0.8400923;0.821859;-0.4228;1.6246;-1.2877;7.9688;270.2463;359.7108;(.0510, -.7038, .0472, .7070);0.0000;0.0000
17.2650;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9425;-0.7419;0.8403014;0.8167331;-0.4228;1.6246;-1.2877;7.9694;270.2684;359.7350;(.0509, -.7036, .0474, .7072);0.0000;0.0000
