elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z
3.2170;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3498;-1.3352;0.4845771;0.4613493;-0.4116;1.6284;-1.2985;6.2161;269.1771;0.8493
3.2390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3512;-1.3337;0.4854928;0.4622032;-0.4117;1.6284;-1.2984;6.1861;269.2097;0.7840
3.2610;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3519;-1.3340;0.4853041;0.4626224;-0.4116;1.6285;-1.2983;6.1723;269.2000;0.7706
3.2840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3526;-1.3340;0.4853157;0.4630495;-0.4117;1.6285;-1.2982;6.1570;269.1988;0.7682
3.3060;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3552;-1.3335;0.485564;0.4645812;-0.4117;1.6285;-1.2982;6.1005;269.2081;0.7342
3.3280;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3562;-1.3335;0.4855669;0.4652074;-0.4117;1.6285;-1.2981;6.0776;269.2067;0.7353
3.3510;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3557;-1.3348;0.4848079;0.4648814;-0.4117;1.6285;-1.2981;6.0898;269.1769;0.7325
3.3730;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3538;-1.3353;0.4845377;0.4637517;-0.4117;1.6285;-1.2980;6.1312;269.1656;0.7145
3.3950;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3525;-1.3355;0.4843896;0.4629554;-0.4118;1.6285;-1.2980;6.1598;269.1590;0.7165
3.4170;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3530;-1.3358;0.4842151;0.4632784;-0.4117;1.6285;-1.2979;6.1484;269.1513;0.7211
3.4390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3545;-1.3350;0.4846606;0.464171;-0.4117;1.6285;-1.2978;6.1159;269.1667;0.7123
3.4620;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3558;-1.3351;0.4846111;0.4649384;-0.4116;1.6285;-1.2979;6.0873;269.1650;0.6934
3.4840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3559;-1.3359;0.4841211;0.4650188;-0.4115;1.6286;-1.2978;6.0856;269.1461;0.6740
3.5060;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3571;-1.3343;0.4850877;0.4657385;-0.4115;1.6286;-1.2977;6.0598;269.1803;0.6584
3.5280;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3591;-1.3340;0.48531;0.4669521;-0.4115;1.6287;-1.2978;6.0163;269.1895;0.6600
3.5510;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3597;-1.3341;0.485253;0.4672722;-0.4115;1.6288;-1.2978;6.0068;269.1873;0.6819
3.5730;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3607;-1.3340;0.485291;0.4679134;-0.4115;1.6288;-1.2978;5.9826;269.1895;0.7317
3.5940;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3604;-1.3343;0.4851065;0.4677092;-0.4115;1.6289;-1.2979;5.9934;269.1846;0.7553
3.6200;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3610;-1.3349;0.4847633;0.4680621;-0.4115;1.6290;-1.2980;5.9811;269.1732;0.7196
3.6370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3621;-1.3338;0.4853882;0.4687229;-0.4116;1.6290;-1.2981;5.9572;269.2004;0.6854
3.6600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3611;-1.3366;0.4837072;0.4681332;-0.4116;1.6289;-1.2982;5.9770;269.1385;0.7175
3.6820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3575;-1.3378;0.4829881;0.465998;-0.4116;1.6288;-1.2983;6.0536;269.1141;0.7800
3.7050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3542;-1.3391;0.4822179;0.4639699;-0.4115;1.6287;-1.2983;6.1256;269.0847;0.7775
3.7260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3528;-1.3400;0.4816941;0.4631749;-0.4114;1.6286;-1.2983;6.1535;269.0660;0.7840
3.7480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3531;-1.3398;0.4817943;0.4633239;-0.4114;1.6286;-1.2984;6.1473;269.0723;0.8143
3.7710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3529;-1.3401;0.4816452;0.4632343;-0.4113;1.6285;-1.2985;6.1496;269.0688;0.8355
